address_hex,address_dec,result_type,value_or_code
0x024E,590,VALUE,0
0x024F,591,VALUE,0
0x0250,592,VALUE,2373
0x0251,593,VALUE,7
0x0252,594,VALUE,4997
0x0253,595,VALUE,0
0x0254,596,VALUE,1
0x0255,597,VALUE,7
0x0256,598,VALUE,65525
0x0257,599,VALUE,65525
0x0258,600,VALUE,65532
0x0259,601,VALUE,0
0x025A,602,VALUE,0
0x025B,603,VALUE,10108
0x025C,604,VALUE,8137
0x025D,605,VALUE,0
0x025E,606,VALUE,2960
0x025F,607,VALUE,4317
0x0260,608,VALUE,3713
0x0261,609,VALUE,2230
0x0262,610,VALUE,2416
0x0263,611,VALUE,4374
0x0264,612,VALUE,7892
0x0265,613,VALUE,0
0x0266,614,VALUE,0
0x0267,615,VALUE,32776
0x0268,616,VALUE,2048
0x0269,617,VALUE,11983
0x026A,618,VALUE,12000
0x026B,619,VALUE,12000
0x026C,620,VALUE,12000
0x026D,621,VALUE,2048
0x026E,622,VALUE,0
0x026F,623,VALUE,0
0x0270,624,VALUE,0
0x0271,625,VALUE,15
0x0272,626,VALUE,429
0x0273,627,VALUE,411
0x0274,628,VALUE,0
0x0275,629,VALUE,0
0x0276,630,EXCEPTION,2
0x0277,631,EXCEPTION,2
0x0278,632,EXCEPTION,2
0x0279,633,EXCEPTION,2
0x027A,634,EXCEPTION,2
0x027B,635,EXCEPTION,2
0x027C,636,EXCEPTION,2
0x027D,637,EXCEPTION,2
0x027E,638,EXCEPTION,2
0x027F,639,EXCEPTION,2
0x0280,640,EXCEPTION,2
0x0281,641,EXCEPTION,2
0x0282,642,EXCEPTION,2
0x0283,643,EXCEPTION,2
0x0284,644,EXCEPTION,2
0x0285,645,EXCEPTION,2
0x0286,646,EXCEPTION,2
0x0287,647,EXCEPTION,2
0x0288,648,EXCEPTION,2
0x0289,649,EXCEPTION,2
0x028A,650,EXCEPTION,2
0x028B,651,EXCEPTION,2
0x028C,652,EXCEPTION,2
0x028D,653,EXCEPTION,2
0x028E,654,EXCEPTION,2
0x028F,655,EXCEPTION,2
0x0290,656,EXCEPTION,2
0x0291,657,EXCEPTION,2
